Id,Actual,Prediction
0,Neutral,Neutral
1,Neutral,Neutral
2,Negative,Neutral
3,Neutral,Neutral
4,Neutral,Neutral
5,Negative,Neutral
6,Neutral,Neutral
7,Neutral,Neutral
8,Neutral,Neutral
9,Neutral,Neutral
10,Positive,Neutral
11,Neutral,Neutral
12,Positive,Neutral
13,Negative,Neutral
14,Negative,Neutral
15,Positive,Neutral
16,Positive,Neutral
17,Neutral,Neutral
18,Negative,Neutral
19,Negative,Neutral
20,Negative,Neutral
21,Positive,Neutral
22,Negative,Neutral
23,Neutral,Neutral
24,Positive,Neutral
25,Neutral,Neutral
26,Positive,Neutral
27,Neutral,Neutral
28,Negative,Neutral
29,Neutral,Neutral
30,Neutral,Neutral
31,Negative,Neutral
32,Neutral,Neutral
33,Negative,Neutral
34,Neutral,Neutral
35,Positive,Neutral
36,Neutral,Neutral
37,Negative,Neutral
38,Positive,Neutral
39,Positive,Neutral
40,Negative,Neutral
41,Positive,Neutral
42,Positive,Neutral
43,Neutral,Neutral
44,Neutral,Neutral
45,Positive,Neutral
46,Positive,Neutral
47,Neutral,Neutral
48,Negative,Neutral
49,Negative,Neutral
50,Positive,Neutral
51,Positive,Neutral
52,Negative,Neutral
53,Neutral,Neutral
54,Positive,Neutral
55,Positive,Neutral
56,Negative,Neutral
57,Negative,Neutral
58,Neutral,Neutral
59,Negative,Neutral
60,Neutral,Neutral
61,Neutral,Neutral
62,Positive,Neutral
63,Positive,Neutral
64,Positive,Neutral
65,Positive,Neutral
66,Positive,Neutral
67,Negative,Neutral
68,Neutral,Neutral
69,Positive,Neutral
70,Positive,Neutral
71,Positive,Neutral
72,Positive,Neutral
73,Negative,Neutral
74,Positive,Neutral
75,Neutral,Neutral
76,Negative,Neutral
77,Neutral,Neutral
78,Neutral,Neutral
79,Neutral,Neutral
80,Neutral,Neutral
81,Neutral,Neutral
82,Neutral,Neutral
83,Positive,Neutral
84,Neutral,Neutral
85,Negative,Neutral
86,Neutral,Neutral
87,Neutral,Neutral
88,Negative,Neutral
89,Negative,Neutral
90,Negative,Neutral
91,Positive,Neutral
92,Neutral,Neutral
93,Neutral,Neutral
94,Neutral,Neutral
95,Neutral,Neutral
96,Neutral,Neutral
97,Positive,Neutral
98,Positive,Neutral
99,Neutral,Neutral
100,Neutral,Neutral
101,Neutral,Neutral
102,Negative,Neutral
103,Negative,Neutral
104,Negative,Neutral
105,Neutral,Neutral
106,Negative,Neutral
107,Positive,Neutral
108,Neutral,Neutral
109,Neutral,Neutral
110,Negative,Neutral
111,Neutral,Neutral
112,Negative,Neutral
113,Negative,Neutral
114,Negative,Neutral
115,Neutral,Neutral
116,Neutral,Neutral
117,Negative,Neutral
118,Negative,Neutral
119,Neutral,Neutral
120,Negative,Neutral
121,Negative,Neutral
122,Positive,Neutral
123,Neutral,Neutral
124,Positive,Neutral
125,Neutral,Neutral
126,Neutral,Neutral
127,Positive,Neutral
128,Neutral,Neutral
129,Neutral,Neutral
130,Neutral,Neutral
131,Positive,Neutral
132,Neutral,Neutral
133,Negative,Neutral
134,Neutral,Neutral
135,Positive,Neutral
136,Negative,Neutral
137,Negative,Neutral
138,Neutral,Neutral
139,Neutral,Neutral
140,Negative,Neutral
141,Negative,Neutral
142,Neutral,Neutral
143,Negative,Neutral
144,Neutral,Neutral
145,Negative,Neutral
146,Neutral,Neutral
147,Positive,Neutral
148,Neutral,Neutral
149,Negative,Neutral
150,Positive,Neutral
151,Negative,Neutral
152,Positive,Neutral
153,Neutral,Neutral
154,Positive,Neutral
155,Positive,Neutral
156,Neutral,Neutral
157,Neutral,Neutral
158,Positive,Neutral
159,Negative,Neutral
160,Neutral,Neutral
161,Negative,Neutral
162,Neutral,Neutral
163,Neutral,Neutral
164,Positive,Neutral
165,Neutral,Neutral
166,Negative,Neutral
167,Neutral,Neutral
168,Negative,Neutral
169,Neutral,Neutral
170,Neutral,Neutral
171,Negative,Neutral
172,Negative,Neutral
173,Negative,Neutral
174,Negative,Neutral
175,Positive,Neutral
176,Negative,Neutral
177,Negative,Neutral
178,Negative,Neutral
179,Neutral,Neutral
180,Negative,Neutral
181,Negative,Neutral
182,Negative,Neutral
183,Negative,Neutral
184,Negative,Neutral
185,Neutral,Neutral
186,Neutral,Neutral
187,Neutral,Neutral
188,Negative,Neutral
189,Neutral,Neutral
190,Negative,Neutral
191,Positive,Neutral
192,Negative,Neutral
193,Negative,Neutral
194,Negative,Neutral
195,Negative,Neutral
196,Negative,Neutral
197,Negative,Neutral
198,Positive,Neutral
199,Negative,Neutral
200,Negative,Neutral
201,Negative,Neutral
202,Negative,Neutral
203,Neutral,Neutral
204,Negative,Neutral
205,Negative,Neutral
206,Neutral,Neutral
207,Negative,Neutral
208,Negative,Neutral
209,Negative,Neutral
210,Neutral,Neutral
211,Negative,Neutral
212,Neutral,Neutral
213,Neutral,Neutral
214,Negative,Neutral
215,Neutral,Neutral
216,Neutral,Neutral
217,Neutral,Neutral
218,Negative,Neutral
219,Neutral,Neutral
220,Neutral,Neutral
221,Negative,Neutral
222,Neutral,Neutral
223,Neutral,Neutral
224,Neutral,Neutral
225,Neutral,Neutral
226,Positive,Neutral
227,Neutral,Neutral
228,Neutral,Neutral
229,Positive,Neutral
230,Neutral,Neutral
231,Neutral,Neutral
232,Neutral,Neutral
233,Neutral,Neutral
234,Neutral,Neutral
235,Neutral,Neutral
236,Positive,Neutral
237,Neutral,Neutral
238,Positive,Neutral
239,Positive,Neutral
240,Negative,Neutral
241,Positive,Neutral
242,Neutral,Neutral
243,Neutral,Neutral
244,Neutral,Neutral
245,Neutral,Neutral
246,Neutral,Neutral
247,Neutral,Neutral
248,Neutral,Neutral
249,Positive,Neutral
250,Negative,Neutral
251,Positive,Neutral
252,Positive,Neutral
253,Neutral,Neutral
254,Positive,Neutral
255,Neutral,Neutral
256,Positive,Neutral
257,Negative,Neutral
258,Neutral,Neutral
259,Positive,Neutral
260,Positive,Neutral
261,Neutral,Neutral
262,Neutral,Neutral
263,Neutral,Neutral
264,Positive,Neutral
265,Positive,Neutral
266,Negative,Neutral
267,Positive,Neutral
268,Negative,Neutral
269,Negative,Neutral
270,Neutral,Neutral
271,Neutral,Neutral
272,Neutral,Neutral
273,Positive,Neutral
274,Positive,Neutral
275,Negative,Neutral
276,Negative,Neutral
277,Neutral,Neutral
278,Neutral,Neutral
279,Neutral,Neutral
280,Positive,Neutral
281,Neutral,Neutral
282,Positive,Neutral
283,Negative,Neutral
284,Neutral,Neutral
285,Neutral,Neutral
286,Positive,Neutral
287,Negative,Neutral
288,Neutral,Neutral
289,Positive,Neutral
290,Positive,Neutral
291,Neutral,Neutral
292,Neutral,Neutral
293,Positive,Neutral
294,Neutral,Neutral
295,Negative,Neutral
296,Neutral,Neutral
297,Neutral,Neutral
298,Neutral,Neutral
299,Neutral,Neutral
